年,作付面積[×10^3 ha],収穫量[×10^3 t]
2004,1701,8730
2005,1706,9074
2006,1688,8556
2007,1673,8714
2008,1627,8823
2009,1624,8474
2010,1628,8483
2011,1576,8402
2012,1581,8523
2013,1599,8607
2014,1575,8439
2015,1506,7989
2016,1479,8044
2017,1466,7824
2018,1470,7782
2019,1470,7764
2020,1462,7765
2021,1404,7564
2022,1355,7270
2023,1345,7166
2024,1359,7346
