îN,â∑é∫å¯â ÉKÉXîrèoó [Mt]
1990,1272
1991,1286
1992,1297
1993,1293
1994,1352
1995,1373
1996,1386
1997,1377
1998,1329
1999,1353
2000,1372
2001,1347
2002,1371
2003,1378
2004,1369
2005,1376
2006,1354
2007,1388
2008,1314
2009,1242
2010,1293
2011,1343
2012,1384
2013,1395
2014,1344
2015,1305
2016,1287
2017,1272
2018,1225
2019,1190
2020,1125
2021,1147
2022,1116
2023,1071
