年,新潟_降水量の合計(mm),新潟_日照時間(時間),新潟_平均気温(℃),相川_降水量の合計(mm),相川_日照時間(時間),相川_平均気温(℃),高田_降水量の合計(mm),高田_日照時間(時間),高田_平均気温(℃)
2011年5月,96.5,188.1,///,155.5,157.6,15,182.5,196.2,16.7
2011年6月,191,163.8,///,231,150.3,20,239,149.2,21.5
2011年7月,332,220,///,107.5,195.6,25.5,183.5,179.8,26.5
2011年8月,51,196.5,///,90,202,26.1,153,180.1,26.6
2011年9月,250,176.3,///,223.5,165.2,23.3,315,156,22.8
2011年10月,117,152.2,///,83,159.8,17,248.5,129,15.8
2011年11月,137,95.5,///,132.5,100.7,12.9,425,84.4,11.7
2011年12月,194,52.9,///,140.5,34.6,5.2,519,46.4,4
2012年1月,112,52.9,///,102,45.4,2.4,478,37.9,1
2012年2月,179,64.3,///,127.5,66.8,2,307.5,64.8,0.8
2012年3月,182,98.3,///,143,105.6,5.9,223,109.6,4.5
2012年4月,94,160.7,///,115.5,184.6,10.8,117,152.2,11.2
2012年5月,130,193,///,77,195.9,15.5,66.5,198.9,16.4
2012年6月,37.5,220.1,20.6,53,242.2,19.5,57.5,196.6,20.5
2012年7月,163.5,173.9,25.4,274,173.1,24.5,176.5,145.3,25.6
2012年8月,28,283.9,27.9,68.5,282.4,27.3,73,277.9,27.8
2012年9月,224,221.9,25.2,287.5,208.2,25.3,246.5,211.1,24.5
2012年10月,193,151.5,17.3,162,156.3,17.9,199,138.7,16.7
2012年11月,283.5,64.9,9.9,223,63.7,11.3,499,65.4,9.3
2012年12月,183.5,57.2,3.9,239.5,45.5,5,554,83.6,3
2013年1月,148.5,64.2,1.8,115.5,56.1,2.6,409.5,72.6,1.2
2013年2月,93.5,76.6,1.5,81,61.3,2.5,277,70.2,1.4
2013年3月,93.5,149.1,6,93,153.3,6.4,107.5,141.3,6.1
2013年4月,142,157.4,10.1,141,163.4,10.1,131.5,187.5,10.7
2013年5月,50,233.9,16.3,51,221.2,15.2,70,229.4,16.4
2013年6月,93.5,236,22.1,61,261.3,21,181,197.9,22
2013年7月,413,101.1,25.1,499,102.8,24.4,174.5,130.4,25.8
2013年8月,264.5,203.2,26.9,147.5,206.3,26.5,282,187.1,26.6
2013年9月,165,177.2,22.9,192,177.1,22.5,342,176.8,22.2
2013年10月,176,124.5,18.3,200,134.1,18.7,335.5,130.5,17.8
2013年11月,416,82.6,9.8,275.5,///,11.6,311,117.5,9.9
2013年12月,271.5,55.8,5.2,246,47,6.8,458,63.1,4.9
2014年1月,129.5,71.9,2.5,106,40.3,3.8,474,69.9,1.8
2014年2月,73.5,60.8,2.5,67,54.2,2.9,201,51.2,2
2014年3月,151.5,127.3,6.1,170,113.7,6.5,271.5,138.8,6
2014年4月,48,244.1,11.1,33,238.5,10.7,96,237.4,11.2
2014年5月,90,223.7,17.1,82,217.1,16.3,44.5,230.4,17.3
2014年6月,63,202,22,130,207.8,21,84.5,177.9,22.2
2014年7月,314.5,195,24.9,262.5,184.5,24.3,253,177.9,24.9
2014年8月,163.5,145.2,26.1,156,122.9,25.3,342.5,117.4,25.7
2014年9月,103,212.6,21.6,109.5,227.6,21.6,109.5,190.2,21.5
2014年10月,229,160.4,16,226,164.6,16.4,189.5,158.3,16
2014年11月,174.5,93.5,11.1,164,98,12.1,285,98.1,11.2
2014年12月,444,27.7,3.4,361.5,23.7,5,831.5,35.9,3.5
2015年1月,114.5,53.6,3.1,120,29.9,4.2,417,45,2.4
2015年2月,92.5,58.5,3.9,85.5,62,4.7,243,76,3.2
2015年3月,117,147.3,7,109,131.2,7.2,200.5,148.7,6.3
2015年4月,145,172,12.1,147,178.5,11.7,131,178.6,12.5
2015年5月,63,///,18.6,67,272.2,17.1,65,273.6,18.7
2015年6月,50,192.9,21.2,50,202.2,20.3,62,167.4,21.1
2015年7月,167,189.6,25.2,93,198.2,24.4,104,177.7,25.7
2015年8月,114.5,183.9,25.8,61.5,193.2,25.4,131,167.4,26
2015年9月,145.5,121.9,21.1,82,134.9,21,150.5,115.1,20.8
2015年10月,106,194.2,15.8,114.5,180.2,15.9,140.5,171.9,15.6
2015年11月,187,77.4,12.1,153.5,81.9,12.7,291.5,77.8,11.9
2015年12月,165.5,71.5,7,152,73.7,8,443.5,77.8,6.6
2016年1月,269,23.9,3.1,188,28.6,4.3,493,57.5,2.7
2016年2月,130,81.3,3.6,108.5,76.2,4.8,310,85.4,3.4
2016年3月,41.5,157.6,6.9,48,176.6,7.5,110.5,155.4,6.8
2016年4月,120.5,198.5,12.4,128,190.3,12.3,125.5,182.1,13.1
2016年5月,90,224.5,18.4,110.5,236.2,17.4,50,217.7,18.6
2016年6月,73.5,193.2,21.4,79,200.6,20.5,102,169.2,21.6
2016年7月,194.5,152,24.6,194.5,144.3,24,405.5,135.5,25.1
2016年8月,85,271.9,27,120.5,271,26.3,201,228.7,26.5
2016年9月,127,130.5,23.4,133,123.2,23,274.5,109.2,22.9
2016年10月,99,134.1,16.4,73,157.2,16.6,118.5,109.1,16.5
2016年11月,89.5,106.5,9.9,107.5,113.1,10.9,260,95.3,9.8
2016年12月,179.5,64.4,6.4,240,55.8,8,421.5,78.1,6.4
2017年1月,161,52.5,3.1,152,46.8,4.5,553,57.5,2.9
2017年2月,95,72.9,3.3,107,55.1,4.5,249,78,3.1
2017年3月,69,144.2,6.1,42.5,157.7,6.5,177.5,147.6,6
2017年4月,99.5,192.7,11.6,113,186.8,11.6,63.5,175.3,12.2
2017年5月,56,234.1,17.7,39.5,242.9,16.9,61,235.2,17.9
2017年6月,48,177.9,19,71.5,179.3,18,88,179.4,19
2017年7月,443,197.7,25.9,430,204.6,25,414,157.5,26.1
2017年8月,258,171.6,26.2,120.5,197.6,25.9,340.5,143.1,26.1
2017年9月,95.5,190.2,21.7,111.5,196.2,21.9,194,176.1,21.4
2017年10月,150.5,75,16.4,190.5,86.6,16.6,364.5,82.6,16
2017年11月,231.5,91.6,9.1,142.5,86.8,10.8,416,105,9
2017年12月,329.5,42.1,3.9,242,23.8,5.5,359.5,82.5,3.9
2018年1月,206,54.5,1.7,182.5,41,3.1,411.5,63.8,1.7
2018年2月,108.5,83.9,1.4,103.5,85.9,2.7,227.5,108.9,1.5
2018年3月,111,175.1,7.5,111.5,176.7,7.5,156.5,187,7.6
2018年4月,139.5,175.5,12.7,139.5,172.8,12.1,73,185.9,13.2
2018年5月,139,164.3,17,102,166.7,16.1,150,175.8,17.2
2018年6月,66.5,189.1,21.1,115.5,174.3,20.1,54,182.8,21.4
2018年7月,42,262.5,27.4,162.5,256.8,26.3,48,277.6,27.5
2018年8月,278,186.1,26.6,183,203.6,26.1,266.5,182.4,26.7
2018年9月,248.5,113.9,21.8,209.5,124.8,21.9,308,88.3,21.6
2018年10月,154,141.6,17.2,154,152.4,17.6,123,144.8,16.8
2018年11月,97,95.7,11.6,95,118.7,12.7,292.5,113,11.3
2018年12月,205.5,56.6,5.9,133.5,36,7,524,61.8,5.7
2019年1月,150,51.9,3,100,45.8,4.5,555,52.9,2.5
2019年2月,65.5,73.1,4,56.5,86.6,4.8,233,74.1,3.4
2019年3月,92,154.2,7.2,101.5,144.2,7.9,179.5,155.5,7.3
2019年4月,107.5,173.9,10.8,91,188.8,10.6,128.5,170.3,10.7
2019年5月,62,312.3,18,40.5,311.5,17.3,61.5,302.8,17.8
2019年6月,174.5,185.2,20.8,196.5,196.2,20.3,224.5,165.3,20.9
2019年7月,73.5,172,25.2,69,165.2,24.6,60.5,112.9,25.2
2019年8月,177,244.1,27.5,224.5,230.5,26.9,260.5,214.1,27.6
2019年9月,30.5,161.9,23.4,77,181.9,23.2,154.5,154.9,23.3
2019年10月,188.5,122.2,17.7,181,136.2,18.2,317,110.7,17.4
2019年11月,137,104.9,11,110.5,115.4,11.6,245,115.1,10.5
2019年12月,94,76.9,6.6,110.5,69.1,8.2,427,84.1,6.3
2020年1月,146,60.7,5.2,126.5,47.8,6,392.5,63.1,5.3
2020年2月,102,74.8,5,123.5,75.7,5.9,300,96.7,4.7
2020年3月,121,161,7.9,125,143.1,8.1,179.5,149.9,7.8
2020年4月,108,167.6,10.1,109,173.8,10.2,180.5,170.1,10.1
2020年5月,82,206.2,17.2,67.5,192.8,16.6,58.5,205.9,17.6
2020年6月,80.5,205.6,22.3,///,212.8,21.3,115,177.1,22.3
2020年7月,649.5,75.3,23.6,474.5,78.5,23.2,333,30.5,23.5
2020年8月,101.5,227.3,27.7,115,225.7,26.9,97.5,236.1,28
